Date,Title,article
"Jan 12, 2010, 04:39 IST","Dumped by husband, HIV+ woman seeks CM’s help","
  LUCKNOW: After running from the pillar to post for an year with no positive response from any of the government and non-government organisations (NGOs), 19-year-old Poonam (name changed) as a last resort has written an open letter to the chief minister Mayawati for help. The hapless woman was thrown out by her husband after she had tested HIV+ during delivery of her baby last year. Although she got the infection from her husband but the latter refuses to keep her saying that he has no money to bear the cost of treatment. He has also kept the baby with him.
  
  ,“I knocked at every door possible, be it NGOs or government organisations but only got sympathies,” said Poonam while narrating how her husband snatched her four-month-old daughter from her and threw her out of the house. “With no money and means of livelihood, I first went to my parents but my father was also not ready to accept me. My mother, however, intervened and helped me in approaching various government agencies and NGOs for help. However, at all the places people only made promises but none helped,” she rued. Poonam only want a job so that she can be financially independent and can claim custody of her daughter.
  ,
  ,In her letter, Poonam has described how hundreds of HIV+ women like her who want to stand on their feet and fight stigma but are being pushed back by government agencies and NGOs who thrive on grants procured in the name of HIV/AIDS awareness and welfare. “I hope being a women chief minister will help me out,” said Poonam who signed the letter “one of your daughter”. A dejected Poonam has also said that she would be forced to commit suicide, if no help came from the chief minister. “ What option do I have...should I take to prostitution and infect others...or beg on streets... better to end life,” she said.
  ,
  ,Poonam was just 16 when she was married to one Rajesh, who works as salesman in a small firm. The marriage does not have a legal sanctity because she was minor at that time. She has studied till class XI, which is also not enough to get a job. “ I understand the limitations but I am only asking for a job, may be a peon or a counsellor at any AIDS awareness centre or any task which may earn enough to take care of myself,” she said. At present, she survives on little money her mother sends every month. During the day, she wanders on the streets looking for work and in the night finds shelter in railways and bus stations.
  ,The woman also knocked the door of the State Women Commission and State Aids Control Society as well as other NGOs working for , positive people but got only assurances. The episode has also exposed the poor state of affairs in government set up for providing relief and rehabilitation to abandoned HIV+ women and children. There are over 1000 NGOs, funded by the government and other national international organisations, working in the field of HIV/AIDS in UP but none have any shelter home, barring ‘Shanti Niketan’ run by the ‘Sisters of Saint Joseph’, a Christian missionary organisation, but it has limited capacity.
  ,
  ,The state has over 1.4 lakh HIV+ people, of which nearly 30% are widows who acquired infection from their husbands but after their death were disowned by in-laws. Many like Poonam are denied shelter by their parents as well. Some also have children. The only option for them is to lead a traumatised life and die in oblivion. Officers claim that government gives enough funds to the NGOs for the job. The Lucknow Network for People living with HIV and AIDS has been helping such widows but resources are limited. Members complain that NGOs take grants in the name of HIV/AIDS but have done more harm to victims than infection.
 "
"Jan 11, 2010, 03:16 IST",Researchers hopeful of finding HIV cure ,"
  CHENNAI: Researchers working towards a cure for , have hit upon possibilities with true potential to transform into viable solutions in the future, said ,, head, division of infectious diseases, University of California, San Diego. 
  With his previous experience as chair of the AIDS Clinical Trials Group, reputedly among the most productive multinational research organizations working on HIV pathogenesis and therapy, Schooley was an important contributor to the two-day ART Symposium in the city organized by YRG Care over the weekend to discuss cutting-edge technology in the field. 
  ,
  ,Speaking to TOI on Sunday about new scientific advances in the field, Schooley said, ""There are a host of approaches being adopted by researchers worldwide to try and eradicate HIV however the approaches using either enzymes or RNA to remove infected cells are ultimately the most hopeful and will be the least disruptive for the patient. Paula Cannon, a researcher from California, for instance, has been working on ways to identify HIV-infected cells called CD4 cells (so called because they have a molecule on the surface called CD4) which is a gateway for the virus. These cells have a second molecule called CCR5 which is a second door that the virus has to pass through. Now, she has created a way for the second molecule to be changed so that they virus cannot recognize it. In this approach, the virus stays outside the cell."" Elaborating on Cannon's research, he said she had been able to demonstrate it successfully in mice. 
  ,
  ,""The next step will be to take people with HIV infection who have lymphoma and so, would need a bone marrow transplant for their tumours. She would treat the stem cells and hopefully the bone marrow so grafted would afford the patients' cells protection from HIV,"" Schooley said. Pointing out that this was an experiment that had to be done, he cited the example of a similar case but with a natural modification of the CCR5 molecule being reported in the New York Journal of Medicine about 18 months ago. ""After the HIV-infected individual underwent a bone marrow transplant from such a donor, no one could demonstrate the presence of HIV in the patient. So, there is certainly some preliminary support for her research,"" he said. 
  ,
  ,Commenting on India's research potential, Schooley said that biotechnology was growing at an excellent pace in the country. ""There is some state of the art research work being carried out by YRG Care and some fantastically sophisticated research at National Aids Research Institute, Pune. In fact, the component sites that we have in Chennai and Pune are among the most productive. We are carrying out trials on the best drugs to use for HIV infections, treating people with drug failure and drug resistance and treating people suffering from HIV and Tuberculosis at the same time. There is a lot of important work being carried out over here. India is one of the best places for research activity worldwide,"" he added. 
  ,
  , 
  ,
  ,
  ,
  ,
 "
"Jan 30, 2010, 01:02 IST","HIV kids need better nutrition, education","
  BANGALORE: Nutrition, education and property rights. That's what children who are , demand from society. Better access to medical treatment and easy access to nutrition and continuation of education are among their primary demands.
  
  ,After a public hearing on `Child rights -- issues and entitlements of the orphan and vulnerable children affected/infected by HIV/ AIDS', Shantha Sinha, chairperson, National Commission for Protection of , (NCPCR), said four things topped their list of demands. ""A comprehensive nutrition programme is needed. Continuation of education is a problem for most because of social stigma,"" she said.
  ,
  ,The question of property rights is another bane for these children because many are thrown out of their homes with even siblings distancing themselves. ""This is fracturing families. Also, in several cases, there are no parents and children have to take care of the family. There are no rules on these cases ought to be handled,"" she added.
  ,
  ,The national commission is also mulling over a comprehensive child health policy and on conducting such public hearing at the district level. These have been held in Andhra Pradesh, Manipur and Tamil Nadu. A pilot hearing in Udupi, where the incidence of HIV/AIDS affected children is very high, is being considered.
  ,
  ,Both the national and state commissions were unanimous in saying the biggest problem was that there was no data on children affected by HIV/AIDS. However, it's estimated there are about 55,000 children orphaned due to AIDS or other reasons in just three districts of Belgaum, Bagalkot and Bellary.
  ,
  ,Guidelines not operational
  ,
  ,Though there are guidelines for children with HIV/AIDS, which have details on how to handle such cases, social workers say these are not yet operational on ground. Neither has the HIV Bill been passed.
  ,
  ,Nina P Naik, chairperson, Karnataka State Commission for Protection of Child Rights, said there was no plan in the state for children affected with HIV/AIDS. If parents die, the ration card for the family is cancelled and they are not considered to be below the poverty line. ""HIV positive women with a son over 18 years no longer gets a widow pension. There is also a movement nationwide to include HIV positive people under the disability pension scheme,"" she added.
  ,
  ,It's been estimated that every 15 seconds a child loses a parent to AIDS and there are about 2 million children under 15 years who are living with HIV. According to a UNAIDS 2008 report, about 15 million orphans are AIDS orphans.
  ,
  ,toiblr.reporter@timesgroup.com
  ,
  ,
 "
"Feb 1, 2010, 03:19 IST",2 new HIV+ therapy centres by year-end ,"
  PATNA: With two new , (ART) centres likely to become functional in the state by the year-end, , can expect better availability of the therapy. The new ART centres are coming up at Rajendra Memorial Research Institute-Patna and Anugrah Narain Medical College and ,.
  
  ,The state already has four ART centres at Patna Medical College and Hospital, Sri Krishna Medical College and Hospital-Muzaffarpur, Darbhanga Medical College and Hospital-Laheriasarai and Jawaharlal Nehru Medical College and Hospital-Bhagalpur.
  ,
  ,ART centres provide facilities like counselling, pathological tests for assessing the CD4 count and free medicines, if required.
  ,
  ,Bihar has at present 13,539 HIV+ persons registered with the existing ART centres. Of them, 6,478 have been put on ART therapy. This therapy is started once the CD4 count falls below 200.
  ,
  ,""Dedicated manpower has already been deputed for the two new ART centres which will become functional once the civil work is completed by December-end,"" Bihar State Aids Control Society (BSACS) additional project director Sibi Alex told TOI.
  ,
  ,He said some of the patients registered with the existing ART centres would be shifted to the new ones. This would not only rationalise the distribution of workload to the ART centres but also reduce the distance the HIV+ patients have to cover to reach these centres.
  ,
  ,Plans are also afoot to start 19 link ART centres in addition to the existing five. ""This would further make things easier for the HIV+ cases,"" Alex said.
  ,
  ,The link ART centres free the HIV+ patients of the vicinity from the monthly chore of coming to the ART centres as they get counselling and medicines at the link ART centres. They, however, have to come to the ART centres for the CD count test every six months.
  ,
  ,The five link ART centres which have recently been made functional are at Nawada, Begusarai, Saran, Hajipur and Mokama. The process of linking HIV+ cases of these areas with the link centres is on.
  ,
  ,The new link ART centres are likely to become functional within the next three months in Bhojpur, Gopalganj, Arwal, Lakhisarai, Samastipur, East Champaran, West Champaran, Sitamarhi, Madhubani, Munger, Kishanganj, Katihar, Purnia, Araria, Khagaria, Nalanda, Siwan, Jehanabad and Aurangabad districts.
  ,
  ,
 "
"Feb 2, 2010, 02:20 IST",Bhutia joins hands to fight AIDS/HIV,"
  MAPUSA: Wearing a lace would mean nothing to many, but for Indian football superstar it makes a world of difference.
  
  , has joined , which asks all and sundry to lace up and save lives.
  ,
  ,Some of the world's leading athletes have joined forces in the global fight against AIDS/HIV in South Africa. The famous names include Didier Drogba, Joe Cole, Andrei Arshavin, Marco Materazzi, Maria Sharapova and Kobe Bryant. And joining hands now is our very own Baichung Bhutia.
  ,
  ,""It's a wonderful initiative from Nike. It's for a noble cause and I am pleased to be part of the campaign,"" Bhutia told TOI on Monday.
  ,
  ,The RED lace campaign hopes to raise money for the fight against AIDS/HIV through the sale proceeds of red laces.
  ,
  ,Bhutia, who happens to be the only Indian face in the campaign, promised his unflinching support towards the cause.
  ,
  ,The concept behind the RED campaign-Lace Up Save Lives- is that the red laces which are being sold by Nike would see the total proceeds of the profit equally distributed between The Global Fund to Fight , and Nike football-based community initiative to fight and prevent HIV/AIDS.
 "
"Feb 6, 2010, 22:13 IST",Two new HIV+ cases reported from district jail,ERR-RTF
"Feb 5, 2010, 02:47 IST","2 new HIV+ therapy centres by year-end
","PATNA: With two new anti-retroviral therapy (ART) centres likely to become functional in the state by the year-end, HIV carriers can expect better availability of the therapy. The new ART centres are coming up at Rajendra Memorial Research Institute-Patna and Anugrah Narain Medical College and Hospital-Gaya.,The state already has four ART centres at Patna Medical College and Hospital, Sri Krishna Medical College and Hospital-Muzaffarpur, Darbhanga Medical College and Hospital-Laheriasarai and Jawaharlal Nehru Medical College and Hospital-Bhagalpur.,ART centres provide facilities like counselling, pathological tests for assessing the CD4 count and free medicines, if required.,Bihar has at present 13,539 HIV+ persons registered with the existing ART centres. Of them, 6,478 have been put on ART therapy. This therapy is started once the CD4 count falls below 200.,""Dedicated manpower has already been deputed for the two new ART centres which will become functional once the civil work is completed by December-end,"" Bihar State Aids Control Society (BSACS) additional project director Sibi Alex told TOI.,He said some of the patients registered with the existing ART centres would be shifted to the new ones. This would not only rationalise the distribution of workload to the ART centres but also reduce the distance the HIV+ patients have to cover to reach these centres.,Plans are also afoot to start 19 link ART centres in addition to the existing five. ""This would further make things easier for the HIV+ cases,"" Alex said.,The link ART centres free the HIV+ patients of the vicinity from the monthly chore of coming to the ART centres as they get counselling and medicines at the link ART centres. They, however, have to come to the ART centres for the CD count test every six months.,The five link ART centres which have recently been made functional are at Nawada, Begusarai, Saran, Hajipur and Mokama. The process of linking HIV+ cases of these areas with the link centres is on.,The new link ART centres are likely to become functional within the next three months in Bhojpur, Gopalganj, Arwal, Lakhisarai, Samastipur, East Champaran, West Champaran, Sitamarhi, Madhubani, Munger, Kishanganj, Katihar, Purnia, Araria, Khagaria, Nalanda, Siwan, Jehanabad and Aurangabad districts."
"Feb 10, 2010, 14:05 IST",HIV-afflicted youth commits suicide in Allahabad,"
  ALLAHABAD: Ostracised by society and abandoned by family members, a young HIV patient allegedly committed suicide by setting himself afire in the district, police said here on Wednesday. 
  ,
  ,The incident took place in Koskharatala Mahadevpura village of Koraon tehsil, about 65 kms from here, when the 25-year-old youth took the extreme step on Tuesday night, police said. 
  ,
  ,The youth's HIV status was detected last year when he went in for tests following prolonged illness. The results evoked disdain from villagers who banished him from all community gatherings for fear of ""spread of infection"", police said. 
  ,
  ,This compelled the youth to move out of his house a few months ago and live in a tiny hut on the outskirts of the village.
 "
"Feb 13, 2010, 05:35 IST","To locate husband, cops ask HIV+ woman to pay for petrol","
  LUCKNOW: When it comes to ‘extortion’, the Lucknow police, it seems, spare none. Here’s what they did to an HIV-positive woman: Thrown out by her husband after she delivered her baby and was diagnosed with the infection, Poonam (name changed) had to write to the chief minister for justice. The police swung into action, but now they demand a price for finding her absconding husband.
  
  ,The local police has asked Poonam to hire a vehicle and give them money for petrol and ‘other expenses’ if she wants them to locate her husband. Poonam was only 16 years old when she got married to Rajesh, a salesman in a local firm. She came to know about her positive status during delivery of her daughter in May last year. The husband threw her out saying that he did not have enough money for the treatment. Rajesh also kept the baby.
  ,
  ,The hapless woman was also disowned by her father. She knocked at every possible door, but nothing happened. She then wrote to the chief minister last month. The CM’s office directed State AIDS Control Society to help Poonam get a job and asked police to take action against her husband and help her get custody of her daughter.
 "
"Feb 19, 2010, 03:34 IST","A year later, woman told she's not HIV+","
  KOLKATA: Till last January, 23-year-old Batashi and husband Tarak, 26, of Serampore were the quintessential happy couple. They had married for love and were expecting their first child. Then a routine blood test brought their world crashing down. Batashi was inexplicably diagnosed , positive at Kolkata's School of Tropical Medicine (STM). A test on Tarak proved negative.
  
  ,What followed was worse than nightmare for Batashi. Her in-laws ostracized her and her husband accused her of straying. Tarak would have kicked her out had a little compassion for the woman he had once loved not lurked in one corner of his heart.
  ,
  ,Batashi had to attend several sessions of counselling while carrying her baby to term. Her son, born last May, was healthy. She had to travel to Kolkata regularly for more tests. Last week, following another round of tests at STM, she was told as suddenly as she was informed the first time that she did not have the virus. On Tuesday, after a repeat test, doctors at STM told her ""to go home and take rest"" because she wasn't HIV positive after all.
  ,
  ,""When we went to collect the report last Wednesday, we were told that my wife did not have HIV. We couldn't believe it at first. Then I saw tears well up in my wife's eyes. I was so happy for her. It took us some time to regain composure,"" said Tarak, a cable operator.
  ,
  ,""I always knew that I couldn't have contracted the virus. But I had reconciled to my fate after the reports. No one can imagine the trauma I've been through. I was ostracized, ridiculed and my marriage was on the rocks. I wasn't even allowed to breastfeed my baby,"" said Batashi.
 "
